user,problem,category,date
0,1001,1,000
0,1002,1,001
0,1003,1,002
0,1004,1,003
0,1005,1,004
0,1006,1,005
0,1007,1,006
0,1008,1,007
0,1009,1,008
0,1010,1,009
0,1011,1,010
0,1012,1,011
0,1013,1,012
0,1014,1,013
0,1015,1,014
0,1016,1,015
0,1017,1,016
0,1018,1,017
0,1019,1,018
0,1020,1,019
0,1021,1,020
0,1022,1,021
0,1023,1,022
0,1024,1,023
0,1025,1,024
0,1026,1,025
0,1027,1,026
0,1028,1,027
0,1029,1,028
0,1030,1,029
0,1031,1,030
0,1032,1,031
0,1033,1,032
0,1034,1,033
0,1035,1,034
0,1036,1,035
0,1037,1,036
0,1038,1,037
0,1039,1,038
0,1040,1,039
0,1041,1,040
0,1042,1,041
0,1043,1,042
0,1044,1,043
0,1045,1,044
0,1046,1,045
0,1047,1,046
0,1048,1,047
0,1049,1,048
0,1050,1,049
0,1051,1,050
0,1052,1,051
0,1053,1,052
0,1054,1,053
0,1055,1,054
0,1056,1,055
0,1057,1,056
0,1058,1,057
0,1059,1,058
0,1060,1,059
0,1061,1,060
0,1062,1,061
0,1063,1,062
0,1064,1,063
0,1065,1,064
0,1066,1,065
0,1067,1,066
0,1068,1,067
0,1069,1,068
0,1070,1,069
0,1071,1,070
0,1072,1,071
0,1073,1,072
0,1074,1,073
0,1075,1,074
0,1076,1,075
0,1077,1,076
0,1078,1,077
0,1079,1,078
0,1080,1,079
0,1081,1,080
0,1082,1,081
0,1083,1,082
0,1084,1,083
0,1085,1,084
0,1086,1,085
0,1087,1,086
0,1088,1,087
0,1089,1,088
0,1090,1,089
0,1091,1,090
0,1092,1,091
0,1093,1,092
0,1094,1,093
0,1095,1,094
0,1096,1,095
0,1097,1,096
0,1098,1,097
0,1099,1,098
0,1100,1,099
0,1101,1,100
0,1102,1,101
0,1103,1,102
0,1104,1,103
0,1105,1,104
0,1106,1,105
0,1107,1,106
0,1108,1,107
0,1109,1,108
0,1110,1,109
0,1111,1,110
0,1112,1,111
0,1113,1,112
0,1114,1,113
0,1115,1,114
0,1116,1,115
0,1117,1,116
0,1118,1,117
0,1119,1,118
0,1120,1,119
0,1121,1,120
0,1122,1,121
0,1123,1,122
0,1124,1,123
0,1125,1,124
0,1126,1,125
0,1127,1,126
0,1128,1,127
0,1129,1,128
0,1130,1,129
0,1131,1,130
0,1132,1,131
0,1133,1,132
0,1134,1,133
0,1135,1,134
0,1136,1,135
0,1137,1,136
0,1138,1,137
1,1001,1,000
1,1002,1,001
1,1003,1,002
1,1004,1,003
1,1005,1,004
1,1006,1,005
1,1007,1,006
1,1008,1,007
1,1009,1,008
1,1010,1,009
1,1011,1,010
1,1012,1,011
1,1013,1,012
1,1014,1,013
1,1015,1,014
1,1016,1,015
1,1017,1,016
1,1018,1,017
1,1019,1,018
1,1020,1,019
1,1021,1,020
1,1022,1,021
1,1023,1,022
1,1024,1,023
1,1025,1,024
1,1026,1,025
1,1027,1,026
1,1028,1,027
1,1029,1,028
1,1030,1,029
1,1031,1,030
1,1032,1,031
1,1033,1,032
1,1034,1,033
1,1035,1,034
1,1036,1,035
1,1037,1,036
1,1038,1,037
1,1039,1,038
1,1040,1,039
1,1041,1,040
1,1042,1,041
1,1043,1,042
1,1044,1,043
1,1045,1,044
1,1046,1,045
1,1047,1,046
1,1048,1,047
1,1049,1,048
1,1050,1,049
1,1051,1,050
1,1052,1,051
1,1053,1,052
1,1054,1,053
1,1055,1,054
1,1056,1,055
1,1057,1,056
1,1058,1,057
1,1059,1,058
1,1060,1,059
1,1061,1,060
1,1062,1,061
1,1063,1,062
1,1064,1,063
1,1065,1,064
1,1066,1,065
1,1067,1,066
1,1068,1,067
1,1069,1,068
1,1070,1,069
2,1001,1,000
2,1002,1,001
2,1003,1,002
2,1004,1,003
2,1005,1,004
2,1006,1,005
2,1007,1,006
2,1008,1,007
2,1009,1,008
2,1010,1,009
2,1011,1,010
2,1012,1,011
2,1013,1,012
2,1014,1,013
2,1015,1,014
2,1016,1,015
2,1017,1,016
2,1018,1,017
2,1019,1,018
2,1020,1,019
2,1021,1,020
2,1022,1,021
2,1023,1,022
2,1024,1,023
2,1025,1,024
2,1026,1,025
2,1027,1,026
2,1028,1,027
2,1029,1,028
2,1030,1,029
2,1031,1,030
2,1032,1,031
2,1033,1,032
2,1034,1,033
2,1035,1,034
2,1036,1,035
2,1037,1,036
2,1038,1,037
2,1039,1,038
2,1040,1,039
2,1041,1,040
2,1042,1,041
2,1043,1,042
2,1044,1,043
2,1045,1,044
2,1046,1,045
2,1047,1,046
2,1048,1,047
2,1049,1,048
2,1050,1,049
